ID,application_date,generic_score,generic_score2,generic_score3,generic_score4,income_trend_score,indebtedness_score,loan_amount,loan_term,aggregator_group,age,region,social_accounts,social_score,job_sector,associate_flag,mortgage_flag,num_searches,num_accounts_closed,num_transactions,num_pi_records,num_months_pi_recorded,num_defaults,num_months_since_last_default,num_settled_good,num_settled_good_l6m,num_delinquents,num_of_revolving_accounts
58804,2020-01,427,728,367,0.55,-2.5,68,3000,60,Best Loans Warehouse,36,North West,0,16,7.0,0,0,-2,1,56.0,0,0,2,11,9,0,2,7
61517,2021-01,920,943,532,1.18,0.12,5,10000,48,Loan Saving Expert,26,Yorkshire and The Humber,4,72,1.0,0,0,-2,3,4.0,0,0,0,0,4,0,0,-2
61876,2020-09,953,522,495,1.23,0.29,5,11000,60,Other,51,South East,0,14,,0,0,-2,0,48.0,0,0,0,0,8,3,0,0
60697,2021-08,900,655,960,-1.16,0.01,16,8000,60,Best Loans Warehouse,45,Scotland,2,56,9.0,1,0,-2,3,72.0,0,0,1,51,5,4,1,1
60061,2020-03,845,1065,505,-1.09,-0.28,8,5000,36,Best Loans Warehouse,35,Wales,6,112,3.0,1,0,0,2,84.0,0,0,0,0,9,3,0,0
57385,2021-02,744,923,914,0.96,-0.81,26,8000,60,Best Loans Warehouse,44,North East,1,37,1.0,0,0,0,4,41.0,0,0,1,65,9,4,1,1
60175,2020-01,641,913,423,-0.82,-1.36,16,2000,24,Best Loans Warehouse,35,Scotland,5,107,5.0,0,0,0,5,5.0,0,0,0,0,2,1,0,1
58242,2020-11,921,636,1341,1.19,0.12,8,11000,24,Best Loans Warehouse,30,Wales,6,84,9.0,0,0,-2,1,35.0,0,0,0,0,9,5,0,0
57069,2021-01,885,822,1409,-1.14,-0.07,8,3000,60,Best Loans Warehouse,33,Yorkshire and The Humber,1,36,2.0,1,1,0,5,12.0,0,0,0,0,9,2,0,3
57099,2021-02,911,744,643,1.17,0.07,16,3000,24,Best Loans Warehouse,36,Scotland,0,17,9.0,1,1,-2,3,9.0,0,0,0,0,3,0,0,3
58806,2021-09,1052,708,934,-1.35,0.82,4,4000,48,Best Loans Warehouse,28,Scotland,5,72,9.0,1,1,-2,3,57.0,0,0,0,0,6,2,0,1
62027,2020-03,819,863,1347,1.05,-0.42,10,4000,36,Best Loans Warehouse,21,North West,2,52,1.0,0,0,0,5,4.0,0,0,0,0,3,2,0,0
58105,2020-03,900,609,978,-1.16,0.01,1,5000,48,Best Loans Warehouse,52,East Midlands,3,41,8.0,0,0,-2,4,76.0,0,0,0,0,1,0,1,0
62509,2021-09,978,589,1286,-1.26,0.43,2,2000,12,Best Loans Warehouse,55,West Midlands,3,54,6.0,0,0,0,5,76.0,0,0,0,0,9,1,0,0
60352,2021-07,780,680,1034,1.0,-0.62,16,7000,60,Loan Saving Expert,37,East Midlands,1,26,,1,1,0,6,25.0,0,0,1,41,3,1,1,2
58427,2020-06,1096,773,498,1.41,1.05,2,8500,60,Best Loans Warehouse,43,North West,2,57,2.0,1,1,1,2,53.0,0,0,0,0,9,2,0,1
61154,2020-04,957,833,1309,1.23,0.32,4,5000,36,Best Loans Warehouse,38,South East,5,94,1.0,0,0,0,0,8.0,0,0,0,0,4,1,0,1
61542,2020-02,963,771,1165,1.24,0.35,4,19000,60,Best Loans Warehouse,41,Yorkshire and The Humber,0,12,2.0,0,0,-2,5,58.0,0,0,0,0,7,2,0,0
57996,2021-11,894,613,832,-1.15,-0.02,8,6500,48,Best Loans Warehouse,49,Wales,1,28,9.0,0,0,-2,1,25.0,0,0,0,0,3,0,0,3
59248,2020-10,807,572,581,-1.04,-0.48,8,2500,36,Loan Saving Expert,34,East of England,1,27,6.0,0,0,0,3,18.0,0,0,0,0,9,1,1,1
58070,2020-12,1012,924,440,1.3,0.61,2,15000,36,Best Loans Warehouse,54,South East,0,16,6.0,0,0,-2,2,50.0,0,0,0,0,8,1,0,3
61534,2020-07,1030,782,686,-1.33,0.7,4,7000,60,Get Loans Marketplace,40,East Midlands,6,121,,1,0,0,5,99.0,0,0,0,0,4,0,0,1
60676,2020-05,687,589,1029,0.88,-1.12,19,5500,36,Best Loans Warehouse,30,East Midlands,5,118,1.0,1,0,-2,5,1.0,0,0,1,21,9,2,1,3
60505,2020-11,909,527,1305,-1.17,0.06,12,3000,36,Best Loans Warehouse,28,East Midlands,1,37,4.0,0,0,-2,5,27.0,0,0,0,0,2,0,0,1
58739,2021-12,967,495,447,-1.24,0.37,2,2000,24,Best Loans Warehouse,29,Wales,0,13,3.0,1,0,-2,4,89.0,0,0,0,0,8,3,0,1
61803,2021-12,1079,606,879,-1.39,0.96,4,13500,36,Loan Saving Expert,38,South West,3,76,7.0,1,0,-2,4,1.0,0,0,0,0,9,1,0,2
60385,2020-04,1158,581,1650,-1.49,1.38,2,9000,12,Best Loans Warehouse,48,North East,5,89,9.0,1,1,-2,3,11.0,0,0,0,0,7,2,0,4
59602,2021-07,1142,840,1648,-1.47,1.3,1,25000,60,Best Loans Warehouse,50,Yorkshire and The Humber,2,43,3.0,1,1,-2,1,94.0,0,0,0,0,6,1,0,2
59151,2021-07,871,723,1083,1.12,-0.14,4,12000,48,Best Loans Warehouse,38,North West,1,36,8.0,1,0,-2,0,1.0,0,0,0,0,1,1,1,1
62348,2021-03,903,777,643,-1.16,0.03,8,3000,36,Best Loans Warehouse,36,South East,1,37,2.0,1,1,0,4,80.0,0,0,0,0,8,2,0,0
57127,2020-01,781,610,1335,1.01,-0.62,16,8000,36,Best Loans Warehouse,45,West Midlands,6,113,2.0,0,0,-2,0,28.0,1,46,4,42,0,0,5,1
58663,2020-09,883,575,1293,-1.14,-0.08,6,10000,36,Best Loans Warehouse,33,North West,1,28,1.0,1,1,-2,4,78.0,0,0,1,72,4,1,1,2
57303,2021-04,971,896,1123,1.25,0.39,4,12000,48,Best Loans Warehouse,45,West Midlands,3,76,,0,0,-2,1,0.0,0,0,0,0,1,0,0,4
57749,2020-04,900,532,1016,1.16,0.01,2,4000,60,Loan Saving Expert,56,East Midlands,5,80,8.0,1,1,0,3,32.0,0,0,1,61,9,4,1,1
60056,2020-09,888,692,1108,1.14,-0.05,8,10000,60,Best Loans Warehouse,49,Yorkshire and The Humber,5,93,6.0,1,0,-2,1,53.0,0,0,0,0,6,0,0,3
61884,2020-11,748,737,1030,0.96,-0.79,4,5000,48,Best Loans Warehouse,43,Scotland,4,74,1.0,1,1,0,3,12.0,0,0,0,0,5,3,2,3
59961,2020-02,949,628,1119,1.22,0.27,4,22000,60,Other,39,East Midlands,6,90,3.0,1,1,0,0,,0,0,0,0,9,3,0,2
57980,2021-11,987,466,1517,1.27,0.47,4,2000,12,Best Loans Warehouse,32,London,0,10,2.0,1,0,-2,2,3.0,0,0,0,0,2,0,0,0
62001,2020-04,815,621,1045,1.05,-0.44,16,3500,36,Best Loans Warehouse,49,North West,3,66,5.0,1,1,-2,1,54.0,1,62,0,0,0,0,0,1
58963,2021-05,627,1269,519,0.81,-1.44,16,2500,24,Best Loans Warehouse,29,South East,2,57,2.0,0,1,2,1,74.0,0,0,0,0,9,3,0,1
62335,2021-06,681,698,957,0.88,-1.15,40,2000,12,Best Loans Warehouse,27,South East,1,21,7.0,0,0,0,0,49.0,0,0,1,9,7,1,1,1
62135,2020-09,1218,712,1022,1.57,1.7,1,14000,60,Best Loans Warehouse,54,Yorkshire and The Humber,4,84,2.0,0,1,-2,5,3.0,0,0,0,0,7,3,0,1
57321,2021-11,1036,765,1446,1.33,0.73,3,20000,48,Best Loans Warehouse,32,London,6,112,2.0,0,0,-2,0,,0,0,0,0,3,1,0,0
61931,2021-12,1139,562,1229,-1.47,1.28,0,4000,60,Other,55,North West,5,66,6.0,1,0,0,4,13.0,0,0,0,0,9,4,0,1
61272,2020-02,809,502,1229,1.04,-0.47,16,2000,12,Best Loans Warehouse,21,Scotland,5,71,5.0,1,1,-2,0,79.0,0,0,0,0,5,3,0,0
59956,2020-09,664,654,588,-0.85,-1.24,46,2000,18,Best Loans Warehouse,36,South East,4,64,1.0,1,0,-2,2,87.0,0,0,0,0,9,1,0,4
58190,2020-06,1056,841,562,-1.36,0.84,2,2500,24,Best Loans Warehouse,43,East Midlands,1,21,1.0,0,1,-2,4,74.0,0,0,0,0,9,3,0,0
58425,2021-06,1093,862,1665,-1.41,1.04,-2,1500,24,Best Loans Warehouse,31,East of England,2,38,4.0,0,0,-2,0,,0,0,0,0,2,0,0,0
59999,2021-12,774,694,1012,1.0,-0.66,16,7500,12,Best Loans Warehouse,47,Scotland,6,120,5.0,1,1,0,5,77.0,0,0,1,45,9,2,1,2
57605,2020-11,725,719,347,-0.93,-0.92,12,14500,36,Best Loans Warehouse,32,East Midlands,4,98,4.0,0,0,1,6,32.0,0,0,0,0,6,1,0,0
62164,2020-01,685,1095,281,-0.88,-1.13,46,4500,36,Best Loans Warehouse,52,East of England,1,31,9.0,0,0,-2,3,67.0,2,42,1,64,7,3,1,3
58410,2020-11,824,720,898,1.06,-0.39,12,12000,48,Best Loans Warehouse,38,Wales,6,115,7.0,1,0,-2,4,62.0,0,0,0,0,9,4,0,3
60646,2021-02,1081,801,805,-1.39,0.97,3,3000,60,Best Loans Warehouse,30,West Midlands,2,45,6.0,0,1,-2,1,25.0,0,0,0,0,2,1,0,-2
58494,2020-12,922,537,1480,1.19,0.13,4,10000,60,Get Loans Marketplace,43,London,2,51,,0,0,0,1,56.0,0,0,0,0,9,2,0,3
59577,2020-04,1058,842,1464,1.36,0.85,1,5000,60,Other,29,East Midlands,3,75,1.0,1,1,0,1,,0,0,0,0,9,4,0,0
57760,2021-08,606,896,924,-0.78,-1.55,16,7500,60,Best Loans Warehouse,43,South East,2,40,2.0,0,0,0,5,75.0,0,0,0,0,9,2,1,3
60730,2021-01,712,844,840,0.92,-0.98,26,6000,30,Best Loans Warehouse,25,North West,4,62,2.0,1,0,-2,2,5.0,0,0,0,0,1,1,0,4
60317,2020-07,1154,510,1004,-1.49,1.36,1,2500,24,Loan Saving Expert,29,East Midlands,0,14,4.0,0,1,-2,5,77.0,0,0,0,0,7,2,0,1
60045,2020-03,843,1470,795,1.08,-0.29,12,7500,60,Best Loans Warehouse,47,Yorkshire and The Humber,5,109,9.0,1,1,-2,2,20.0,0,0,0,0,1,1,0,4
57853,2020-09,778,868,1082,-1.0,-0.63,26,4000,48,Best Loans Warehouse,48,East Midlands,2,41,1.0,0,0,-2,4,3.0,0,0,3,46,3,1,3,6
56989,2020-11,875,686,1019,-1.13,-0.12,12,15000,48,Best Loans Warehouse,42,East Midlands,6,104,1.0,1,1,0,2,17.0,0,0,0,0,9,6,0,6
57005,2021-02,1059,533,1493,1.36,0.86,8,17000,48,Other,45,East Midlands,2,52,1.0,1,1,-2,6,44.0,0,0,0,0,9,4,0,3
60790,2021-08,1043,652,823,1.34,0.77,2,3000,24,Best Loans Warehouse,37,Scotland,1,22,1.0,0,0,-2,6,49.0,0,0,0,0,0,0,0,1
58136,2021-02,993,729,1371,1.28,0.51,4,9500,60,Loan Saving Expert,35,East of England,5,84,1.0,1,1,0,5,26.0,0,0,0,0,9,2,0,2
58551,2021-04,632,724,238,0.81,-1.41,26,9000,60,Loan Saving Expert,48,London,1,21,8.0,1,0,1,6,58.0,0,0,1,67,9,2,1,2
61468,2020-05,1097,562,1203,-1.41,1.06,4,3000,36,Best Loans Warehouse,26,East of England,1,33,3.0,0,0,-2,4,35.0,0,0,0,0,9,3,0,0
61614,2021-11,623,487,129,0.8,-1.46,46,10000,60,Best Loans Warehouse,37,West Midlands,5,109,2.0,0,0,-2,2,2.0,0,0,1,42,6,1,1,3
57182,2020-06,899,495,307,-1.16,0.01,10,2000,24,Best Loans Warehouse,33,West Midlands,6,111,7.0,0,0,1,6,,0,0,1,52,9,5,1,0
58154,2020-06,873,645,365,-1.12,-0.13,12,3000,60,Other,27,East of England,2,32,3.0,0,0,0,3,68.0,0,0,1,37,9,4,1,2
59105,2021-11,851,572,989,-1.1,-0.25,2,2000,24,Best Loans Warehouse,34,South East,5,115,5.0,0,0,-2,5,7.0,1,73,0,0,0,0,0,0
59506,2020-03,953,516,587,-1.23,0.29,8,2000,12,Best Loans Warehouse,23,South East,2,45,5.0,0,0,-2,1,80.0,0,0,0,0,3,1,0,2
61270,2020-03,1165,490,1683,-1.5,1.42,0,3000,36,Best Loans Warehouse,53,Yorkshire and The Humber,0,17,9.0,1,1,-2,0,18.0,0,0,0,0,9,1,0,2
59331,2021-05,1022,485,894,-1.32,0.66,2,24500,60,Best Loans Warehouse,39,Scotland,0,15,3.0,1,1,2,5,24.0,0,0,0,0,9,7,0,0
62014,2020-11,834,660,776,-1.07,-0.34,16,25000,60,Other,49,East Midlands,6,74,,1,1,-2,1,26.0,0,0,0,0,9,3,0,6
62440,2020-08,548,895,440,0.71,-1.85,10,5000,60,Best Loans Warehouse,37,South East,4,52,9.0,0,0,0,5,73.0,2,26,0,0,9,4,0,0
57429,2020-04,770,672,1038,0.99,-0.68,30,3000,36,Best Loans Warehouse,33,Scotland,3,57,2.0,1,0,0,3,17.0,0,0,1,23,5,2,1,0
58423,2021-03,1025,591,595,1.32,0.68,2,20000,60,Best Loans Warehouse,37,North West,1,36,2.0,0,0,-2,6,59.0,0,0,0,0,8,3,0,1
59251,2021-11,881,582,849,-1.13,-0.09,12,1500,60,Get Loans Marketplace,53,South East,4,70,,1,0,1,1,92.0,0,0,0,0,9,4,0,0
58795,2020-01,525,549,61,0.68,-1.98,57,1500,30,Best Loans Warehouse,37,London,6,71,9.0,0,0,0,3,38.0,2,3,2,42,1,0,2,4
60001,2021-11,977,755,1089,-1.26,0.42,4,2000,36,Best Loans Warehouse,26,North West,6,106,2.0,1,0,0,6,74.0,0,0,0,0,6,1,0,0
59675,2021-04,533,644,-23,-0.69,-1.93,30,10000,24,Other,52,London,6,81,,0,0,0,2,76.0,0,0,0,0,9,3,0,5
58400,2020-03,730,570,1012,0.94,-0.89,40,3000,30,Best Loans Warehouse,34,Wales,6,136,2.0,1,0,0,2,29.0,0,0,4,16,4,0,5,0
57495,2020-04,756,1051,804,0.97,-0.75,8,8000,60,Best Loans Warehouse,27,East of England,6,96,9.0,0,0,-2,4,69.0,0,0,0,0,9,5,0,1
57859,2020-05,777,778,847,1.0,-0.64,16,1500,36,Loan Saving Expert,44,London,4,74,2.0,1,1,0,4,63.0,0,0,0,0,4,0,0,1
58078,2021-10,947,1072,655,-1.22,0.26,8,25000,60,Best Loans Warehouse,38,Wales,1,30,2.0,1,1,0,3,,0,0,0,0,7,1,0,2
62064,2020-02,778,634,936,-1.0,-0.63,16,3000,12,Other,22,South East,6,134,9.0,0,0,1,2,39.0,0,0,0,0,5,1,0,0
57716,2020-02,799,905,1051,-1.03,-0.52,6,3000,12,Other,65,East Midlands,2,39,,0,0,0,3,10.0,0,0,0,0,9,5,1,2
58812,2021-08,1019,860,1571,1.31,0.64,6,10000,48,Best Loans Warehouse,38,East of England,5,78,5.0,1,0,-2,5,72.0,0,0,0,0,8,5,0,2
59987,2020-03,988,698,1180,-1.27,0.48,4,10000,36,Other,38,West Midlands,5,73,5.0,0,0,0,2,8.0,0,0,0,0,9,2,0,0
57540,2021-08,849,687,1245,-1.09,-0.26,2,3000,48,Best Loans Warehouse,36,South East,5,93,6.0,0,0,-2,3,99.0,1,58,0,0,0,0,0,2
57967,2021-10,847,668,315,1.09,-0.27,4,10000,60,Loan Saving Expert,42,North West,6,86,4.0,0,0,0,6,7.0,0,0,0,0,9,2,0,1
57619,2021-09,814,989,1048,-1.05,-0.44,8,3000,48,Best Loans Warehouse,29,Scotland,0,15,8.0,0,0,-2,4,90.0,0,0,0,0,1,0,0,0
57503,2020-05,1107,894,735,1.42,1.11,0,10000,60,Best Loans Warehouse,48,West Midlands,1,36,9.0,1,1,-2,1,44.0,0,0,0,0,1,0,0,3
