ID,application_date,generic_score,generic_score2,generic_score3,generic_score4,income_trend_score,indebtedness_score,loan_amount,loan_term,aggregator_group,age,region,social_accounts,social_score,job_sector,associate_flag,mortgage_flag,num_searches,num_accounts_closed,num_transactions,num_pi_records,num_months_pi_recorded,num_defaults,num_months_since_last_default,num_settled_good,num_settled_good_l6m,num_delinquents,num_of_revolving_accounts,outcome
44486,2021-06,1119,582,723,1.44,1.17,2,2600,48,Best Loans Warehouse,47,Scotland,1,29,3.0,1,0,-2,2,73.0,0,0,0,0,9,6,0,0,0
24045,2021-07,1012,561,1282,-1.3,0.61,-2,3000,24,Best Loans Warehouse,27,East of England,6,91,5.0,0,0,-2,0,,0,0,0,0,5,2,0,0,0
48529,2020-12,927,615,367,-1.19,0.16,6,3000,60,Best Loans Warehouse,32,South West,0,10,8.0,0,0,-2,0,35.0,0,0,0,0,4,0,0,0,0
50879,2020-08,900,938,542,1.16,0.01,2,2800,12,Loan Saving Expert,27,Yorkshire and The Humber,0,12,2.0,0,0,-2,0,60.0,0,0,1,72,9,1,1,1,0
41672,2020-09,951,713,1283,1.22,0.28,5,2000,24,Other,25,London,3,43,5.0,0,0,1,5,98.0,0,0,0,0,3,0,0,0,0
40692,2021-09,935,627,763,1.2,0.2,4,15000,60,Other,38,London,4,86,,0,0,0,5,74.0,0,0,0,0,9,3,0,2,0
18655,2021-01,1091,652,1407,1.4,1.03,2,9000,48,Best Loans Warehouse,52,South East,6,79,1.0,1,0,-2,2,63.0,0,0,0,0,4,1,0,1,0
50906,2021-05,1034,596,608,1.33,0.72,1,7500,60,Loan Saving Expert,25,South East,1,23,6.0,0,1,0,3,44.0,0,0,0,0,5,1,0,1,0
53251,2021-06,1129,617,1273,1.45,1.23,2,16000,60,Best Loans Warehouse,52,East Midlands,2,57,6.0,1,1,-2,1,61.0,0,0,0,0,9,6,0,0,0
22753,2021-04,1100,1083,698,1.42,1.07,2,1500,12,Best Loans Warehouse,41,Yorkshire and The Humber,0,16,3.0,0,0,0,1,,0,0,0,0,9,0,0,1,0
30520,2020-08,777,732,793,1.0,-0.64,6,5000,36,Get Loans Marketplace,52,South East,6,99,,1,0,0,5,59.0,0,0,0,0,8,2,0,2,0
23778,2020-07,944,795,1030,-1.21,0.25,1,10000,60,Best Loans Warehouse,39,North West,4,58,4.0,1,1,0,6,,0,0,0,0,1,1,0,0,0
23076,2020-06,671,613,1053,-0.86,-1.2,30,20000,60,Best Loans Warehouse,42,East Midlands,5,64,3.0,1,1,-2,0,76.0,0,0,0,0,9,0,0,5,0
22894,2021-12,415,769,641,-0.53,-2.56,50,10000,60,Best Loans Warehouse,34,North West,5,85,1.0,1,0,-2,4,56.0,0,0,0,0,6,0,0,2,0
45285,2021-11,942,547,894,1.21,0.24,5,7000,36,Best Loans Warehouse,59,London,6,119,8.0,0,0,0,6,18.0,0,0,0,0,3,0,0,0,0
26219,2020-10,1150,570,870,-1.48,1.34,0,12000,60,Best Loans Warehouse,41,South East,2,55,7.0,1,0,0,0,70.0,0,0,0,0,3,1,0,0,0
24453,2021-09,811,991,1129,-1.04,-0.46,16,3600,60,Other,25,West Midlands,0,15,,1,1,0,2,50.0,0,0,0,0,9,3,1,2,0
50855,2020-01,1157,664,1183,-1.49,1.38,1,25000,60,Best Loans Warehouse,49,South East,6,125,4.0,0,1,-2,1,56.0,0,0,0,0,9,2,0,4,0
28470,2020-11,986,504,428,-1.27,0.47,8,12000,60,Other,26,East of England,4,64,,1,0,-2,2,,0,0,0,0,9,1,0,1,0
32110,2021-06,856,888,760,-1.1,-0.22,12,7000,60,Best Loans Warehouse,26,East Midlands,6,97,3.0,0,0,0,6,48.0,0,0,0,0,5,0,0,0,0
43677,2021-06,889,578,1399,-1.14,-0.05,8,10000,60,Get Loans Marketplace,25,London,4,93,,0,0,0,2,53.0,0,0,0,0,3,2,0,2,1
15244,2020-07,1012,667,1360,-1.3,0.61,6,25000,60,Best Loans Warehouse,49,London,3,57,3.0,1,1,0,2,5.0,0,0,0,0,9,1,0,3,0
29960,2020-04,839,574,355,-1.08,-0.31,19,7000,36,Best Loans Warehouse,53,South West,4,71,2.0,1,0,-2,4,80.0,0,0,2,22,3,1,2,0,0
33600,2020-03,687,1053,1037,0.88,-1.12,12,4000,60,Loan Saving Expert,38,Wales,4,68,1.0,0,0,-2,3,91.0,0,0,0,0,9,1,0,3,0
48471,2020-01,1089,556,867,-1.4,1.02,1,6000,60,Best Loans Warehouse,54,Scotland,0,11,6.0,0,1,-2,2,33.0,0,0,0,0,3,1,0,2,0
